
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    127.0.0.1:53175        127.0.0.1:61081        ESTABLISHED     15860
  TCP    127.0.0.1:53175        127.0.0.1:61442        ESTABLISHED     15860
  TCP    127.0.0.1:53175        127.0.0.1:65525        ESTABLISHED     15860
  TCP    127.0.0.1:53176        0.0.0.0:0              LISTENING       15860
  TCP    127.0.0.1:53247        0.0.0.0:0              LISTENING       4872
  TCP    127.0.0.1:54249        127.0.0.1:54250        ESTABLISHED     13844
  TCP    127.0.0.1:54250        127.0.0.1:54249        ESTABLISHED     13844
  TCP    127.0.0.1:55883        127.0.0.1:53175        ESTABLISHED     13068
  TCP    127.0.0.1:56306        0.0.0.0:0              LISTENING       17140
  TCP    127.0.0.1:56316        0.0.0.0:0              LISTENING       17140
  TCP    127.0.0.1:56336        0.0.0.0:0              LISTENING       17140
  TCP    127.0.0.1:57078        127.0.0.1:57079        ESTABLISHED     10804
  TCP    127.0.0.1:57079        127.0.0.1:57078        ESTABLISHED     10804
  TCP    127.0.0.1:57082        127.0.0.1:57083        ESTABLISHED     10804
  TCP    127.0.0.1:57083        127.0.0.1:57082        ESTABLISHED     10804
  TCP    127.0.0.1:57568        127.0.0.1:57569        ESTABLISHED     13844
  TCP    127.0.0.1:57569        127.0.0.1:57568        ESTABLISHED     13844
  TCP    127.0.0.1:57570        127.0.0.1:57571        ESTABLISHED     13844
  TCP    127.0.0.1:57571        127.0.0.1:57570        ESTABLISHED     13844
  TCP    127.0.0.1:57574        127.0.0.1:57575        ESTABLISHED     13844
  TCP    127.0.0.1:57575        127.0.0.1:57574        ESTABLISHED     13844
  TCP    127.0.0.1:59041        127.0.0.1:59042        ESTABLISHED     10804
  TCP    127.0.0.1:59042        127.0.0.1:59041        ESTABLISHED     10804
  TCP    127.0.0.1:59044        127.0.0.1:59045        ESTABLISHED     10804
  TCP    127.0.0.1:59045        127.0.0.1:59044        ESTABLISHED     10804
  TCP    127.0.0.1:59047        127.0.0.1:59048        ESTABLISHED     10804
  TCP    127.0.0.1:59048        127.0.0.1:59047        ESTABLISHED     10804
  TCP    127.0.0.1:59055        127.0.0.1:50912        ESTABLISHED     7772
  TCP    127.0.0.1:59056        127.0.0.1:50912        ESTABLISHED     7772
  TCP    127.0.0.1:59428        127.0.0.1:59429        ESTABLISHED     13844
  TCP    127.0.0.1:59429        127.0.0.1:59428        ESTABLISHED     13844
  TCP    127.0.0.1:59431        127.0.0.1:59432        ESTABLISHED     13844
  TCP    127.0.0.1:59432        127.0.0.1:59431        ESTABLISHED     13844
  TCP    127.0.0.1:59707        127.0.0.1:53169        ESTABLISHED     15860
  TCP    127.0.0.1:61081        127.0.0.1:53175        ESTABLISHED     15288
  TCP    127.0.0.1:61161        0.0.0.0:0              LISTENING       19460
  TCP    127.0.0.1:61442        127.0.0.1:53175        ESTABLISHED     15288
  TCP    127.0.0.1:61522        127.0.0.1:53169        ESTABLISHED     15860
  TCP    127.0.0.1:61523        127.0.0.1:53169        ESTABLISHED     15860
  TCP    127.0.0.1:61526        127.0.0.1:53169        ESTABLISHED     15860
  TCP    127.0.0.1:61604        0.0.0.0:0              LISTENING       19072
  TCP    127.0.0.1:61618        127.0.0.1:61619        ESTABLISHED     17140
  TCP    127.0.0.1:61619        127.0.0.1:61618        ESTABLISHED     17140
  TCP    127.0.0.1:61620        127.0.0.1:61621        ESTABLISHED     17140
  TCP    127.0.0.1:61621        127.0.0.1:61620        ESTABLISHED     17140
  TCP    127.0.0.1:61622        127.0.0.1:61623        ESTABLISHED     17140
  TCP    127.0.0.1:61623        127.0.0.1:61622        ESTABLISHED     17140
  TCP    127.0.0.1:61624        127.0.0.1:61625        ESTABLISHED     17140
  TCP    127.0.0.1:61625        127.0.0.1:61624        ESTABLISHED     17140
  TCP    127.0.0.1:61626        127.0.0.1:61627        ESTABLISHED     17140
  TCP    127.0.0.1:61627        127.0.0.1:61626        ESTABLISHED     17140
  TCP    127.0.0.1:61628        127.0.0.1:61629        ESTABLISHED     17140
  TCP    127.0.0.1:61629        127.0.0.1:61628        ESTABLISHED     17140
  TCP    127.0.0.1:61945        127.0.0.1:5354         ESTABLISHED     6856
  TCP    127.0.0.1:61946        127.0.0.1:5354         ESTABLISHED     6856
  TCP    127.0.0.1:63907        127.0.0.1:63908        ESTABLISHED     13844
  TCP    127.0.0.1:63908        127.0.0.1:63907        ESTABLISHED     13844
  TCP    127.0.0.1:63911        127.0.0.1:63912        ESTABLISHED     13844
  TCP    127.0.0.1:63912        127.0.0.1:63911        ESTABLISHED     13844
  TCP    127.0.0.1:65525        127.0.0.1:53175        ESTABLISHED     15288
  TCP    [::]:135               [::]:0                 LISTENING       1580
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3306              [::]:0                 LISTENING       8040
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       1464
  TCP    [::]:8800              [::]:0                 LISTENING       4
  TCP    [::]:33060             [::]:0                 LISTENING       8040
  TCP    [::]:49664             [::]:0                 LISTENING       1264
  TCP    [::]:49665             [::]:0                 LISTENING       1088
  TCP    [::]:49666             [::]:0                 LISTENING       2488
  TCP    [::]:49667             [::]:0                 LISTENING       2572
  TCP    [::]:49669             [::]:0                 LISTENING       6116
  TCP    [::]:49674             [::]:0                 LISTENING       1236
  TCP    [::1]:7679             [::]:0                 LISTENING       13844
  TCP    [::1]:42050            [::]:0                 LISTENING       776
  TCP    [::1]:46900            [::]:0                 LISTENING       23176
  TCP    [::1]:56306            [::]:0                 LISTENING       17140
  TCP    [::1]:56316            [::]:0                 LISTENING       17140
  TCP    [::1]:56336            [::]:0                 LISTENING       17140
  UDP    0.0.0.0:123            *:*                                    18264
  UDP    0.0.0.0:500            *:*                                    6432
  UDP    0.0.0.0:3702           *:*                                    2660
  UDP    0.0.0.0:3702           *:*                                    6772
  UDP    0.0.0.0:3702           *:*                                    6772
  UDP    0.0.0.0:3702           *:*                                    2660
  UDP    0.0.0.0:4500           *:*                                    6432
  UDP    0.0.0.0:5050           *:*                                    12440
  UDP    0.0.0.0:5353           *:*                                    19972
  UDP    0.0.0.0:5353           *:*                                    2848
  UDP    0.0.0.0:5355           *:*                                    2848
  UDP    0.0.0.0:49670          *:*                                    6216
  UDP    0.0.0.0:50083          *:*                                    20820
  UDP    0.0.0.0:51008          *:*                                    7772
  UDP    0.0.0.0:51632          31.13.87.51:443                        22412
  UDP    0.0.0.0:53359          142.250.196.195:443                    27276
  UDP    0.0.0.0:54619          *:*                                    7088
  UDP    0.0.0.0:56010          216.239.38.223:443                     8032
  UDP    0.0.0.0:58499          216.239.34.223:443                     27276
  UDP    0.0.0.0:59273          *:*                                    2848
  UDP    0.0.0.0:60686          142.251.154.119:443                    27276
  UDP    0.0.0.0:62061          *:*                                    6772
  UDP    0.0.0.0:62675          142.250.196.202:443                    27276
  UDP    0.0.0.0:63066          142.250.66.74:443                      27276
  UDP    0.0.0.0:63400          142.250.196.202:443                    27276
  UDP    0.0.0.0:63763          *:*                                    7772
  UDP    0.0.0.0:64826          *:*                                    2660
  UDP    10.83.207.106:137      *:*                                    4
  UDP    10.83.207.106:138      *:*                                    4
  UDP    10.83.207.106:1900     *:*                                    3968
  UDP    10.83.207.106:5353     *:*                                    6216
  UDP    10.83.207.106:63888    *:*                                    3968
  UDP    127.0.0.1:1900         *:*                                    3968
  UDP    127.0.0.1:5353         *:*                                    7088
  UDP    127.0.0.1:49669        127.0.0.1:49669                        5400
  UDP    127.0.0.1:52315        127.0.0.1:52316                        6856
  UDP    127.0.0.1:52316        127.0.0.1:52315                        6856
  UDP    127.0.0.1:63889        *:*                                    3968
  UDP    [::]:123               *:*                                    18264
  UDP    [::]:500               *:*                                    6432
  UDP    [::]:3702              *:*                                    6772
  UDP    [::]:3702              *:*                                    6772
  UDP    [::]:3702              *:*                                    2660
  UDP    [::]:3702              *:*                                    2660
  UDP    [::]:4500              *:*                                    6432
  UDP    [::]:49671             *:*                                    6216
  UDP    [::]:50083             *:*                                    20820
  UDP    [::]:54620             *:*                                    7088
  UDP    [::]:59273             *:*                                    2848
  UDP    [::]:62062             *:*                                    6772
  UDP    [::]:64827             *:*                                    2660
  UDP    [::1]:1900             *:*                                    3968
  UDP    [::1]:5353             *:*                                    6216
  UDP    [::1]:63887            *:*                                    3968
